Year,Quarter,City,Rent_Index,Sales_Index,Inflation_adjusted,Granularity
2012,1.0,Berlin,83.68882751464844,72.27536010742188,0,quarterly
2012,1.0,Berlin,86.76404768474795,74.88032531738281,1,quarterly
2012,1.0,Bonn,92.82840728759766,82.16597747802734,0,quarterly
2012,1.0,Bonn,96.23946942010353,85.10777282714844,1,quarterly
2012,1.0,Dortmund,91.36640167236328,88.2930679321289,0,quarterly
2012,1.0,Dortmund,94.72374111224354,91.47415161132812,1,quarterly
2012,1.0,Dresden,87.87200164794922,82.0201187133789,0,quarterly
2012,1.0,Dresden,91.10093626060696,84.97879028320312,1,quarterly
2012,1.0,Duisburg,94.82955169677734,114.21338653564453,0,quarterly
2012,1.0,Duisburg,98.31414765492218,118.30782318115234,1,quarterly
2012,1.0,Düsseldorf,93.07221221923828,78.94319152832031,0,quarterly
2012,1.0,Düsseldorf,96.49223318012803,81.78413391113281,1,quarterly
2012,1.0,Erfurt,91.21815490722656,89.80577850341797,0,quarterly
2012,1.0,Erfurt,94.57004688827821,93.03324890136719,1,quarterly
2012,1.0,Frankfurt am Main,91.75794982910156,77.31871795654297,0,quarterly
2012,1.0,Frankfurt am Main,95.1296770531691,80.10389709472656,1,quarterly
2012,1.0,Hamburg,94.80931091308594,79.2061996459961,0,quarterly
2012,1.0,Hamburg,98.29316310568746,82.0595474243164,1,quarterly
2012,1.0,Karlsruhe,91.67577362060547,81.2602310180664,0,quarterly
2012,1.0,Karlsruhe,95.04448120702992,84.1849136352539,1,quarterly
2012,1.0,Köln,90.8470230102539,77.23828887939453,0,quarterly
2012,1.0,Köln,94.18527742068554,80.01988220214844,1,quarterly
2012,1.0,Lübeck,90.46378326416016,87.67901611328125,0,quarterly
2012,1.0,Lübeck,93.78795519032033,90.82620239257812,1,quarterly
2012,1.0,Kreis Mettmann,94.5373764038086,88.32046508789062,0,quarterly
2012,1.0,Kreis Mettmann,98.01123612175476,91.49740600585938,1,quarterly
2012,1.0,München,86.5006103515625,69.8089370727539,0,quarterly
2012,1.0,München,89.67915197508427,72.32916259765625,1,quarterly
2012,1.0,Münster,92.58106994628906,81.355712890625,0,quarterly
2012,1.0,Münster,95.9830434488858,84.2872085571289,1,quarterly
2012,1.0,Potsdam,91.9522476196289,76.0516128540039,0,quarterly
2012,1.0,Potsdam,95.33111448828437,78.79110717773438,1,quarterly
2012,1.0,Rhein-Erft-Kreis,93.84024810791016,75.41873931884766,0,quarterly
2012,1.0,Rhein-Erft-Kreis,97.2884912285116,78.14720916748047,1,quarterly
2012,1.0,Stuttgart,89.21065521240234,74.46898651123047,0,quarterly
2012,1.0,Stuttgart,92.4887798372091,77.1537094116211,1,quarterly
2012,1.0,Wiesbaden,92.153076171875,83.28160095214844,0,quarterly
2012,1.0,Wiesbaden,95.53932266374828,86.2848129272461,1,quarterly
2012,2.0,Berlin,85.73341369628906,74.31599426269531,0,quarterly
2012,2.0,Berlin,88.55996157953648,76.72261810302734,1,quarterly
2012,2.0,Bonn,94.5614013671875,85.20410919189453,0,quarterly
2012,2.0,Bonn,97.67899948147911,87.94303131103516,1,quarterly
2012,2.0,Dortmund,91.60417938232422,92.40550994873047,0,quarterly
2012,2.0,Dortmund,94.62428074265222,95.39669799804688,1,quarterly
2012,2.0,Dresden,88.5127944946289,84.3045654296875,0,quarterly
2012,2.0,Dresden,91.43097587960666,87.03719329833984,1,quarterly
2012,2.0,Duisburg,94.91337585449219,100.54441833496094,0,quarterly
2012,2.0,Duisburg,98.04257822783701,103.78105163574219,1,quarterly
2012,2.0,Düsseldorf,94.76018524169922,80.84282684326172,0,quarterly
2012,2.0,Düsseldorf,97.88433706842919,83.45638275146484,1,quarterly
2012,2.0,Erfurt,91.4495849609375,89.72738647460938,0,quarterly
2012,2.0,Erfurt,94.46458949243653,92.62379455566406,1,quarterly
2012,2.0,Frankfurt am Main,93.78318786621094,79.6317367553711,0,quarterly
2012,2.0,Frankfurt am Main,96.87512903265615,82.20890045166016,1,quarterly
2012,2.0,Hamburg,97.95177459716797,81.08003234863281,0,quarterly
2012,2.0,Hamburg,101.18115004381411,83.7042465209961,1,quarterly
2012,2.0,Karlsruhe,92.58108520507812,81.04412078857422,0,quarterly
2012,2.0,Karlsruhe,95.63339420728562,83.66453552246094,1,quarterly
2012,2.0,Köln,92.19876861572266,80.4168930053711,0,quarterly
2012,2.0,Köln,95.23847300906432,83.01875305175781,1,quarterly
2012,2.0,Lübeck,91.35517883300781,84.8331527709961,0,quarterly
2012,2.0,Lübeck,94.36707088560789,87.56786346435547,1,quarterly
2012,2.0,Kreis Mettmann,95.7354507446289,88.6525650024414,0,quarterly
2012,2.0,Kreis Mettmann,98.89175613347733,91.51713562011719,1,quarterly
2012,2.0,München,88.31651306152344,71.35045623779297,0,quarterly
2012,2.0,München,91.22822323714016,73.66527557373047,1,quarterly
2012,2.0,Münster,93.40766143798828,80.76461791992188,0,quarterly
2012,2.0,Münster,96.48722186062506,83.37934112548828,1,quarterly
2012,2.0,Potsdam,93.33014678955078,79.33634185791016,0,quarterly
2012,2.0,Potsdam,96.40715162906056,81.9039077758789,1,quarterly
2012,2.0,Rhein-Erft-Kreis,93.07179260253906,79.05152893066406,0,quarterly
2012,2.0,Rhein-Erft-Kreis,96.14027975391603,81.62217712402344,1,quarterly
