Segment,Frequency,Year,Quarter,Month,City,TOM_4q,Share_closed_2w_4q
ETW,quarterly,2013,4,,GREIX_NATIONAL,101.97042083740234,0.14363020658493042
ETW,quarterly,2014,1,,GREIX_NATIONAL,97.72483253479004,0.15011128410696983
ETW,quarterly,2014,2,,GREIX_NATIONAL,95.20549201965332,0.1577819213271141
ETW,quarterly,2014,3,,GREIX_NATIONAL,91.2480239868164,0.16202907264232635
ETW,quarterly,2014,4,,GREIX_NATIONAL,87.90388107299805,0.1739644967019558
ETW,quarterly,2015,1,,GREIX_NATIONAL,89.33536911010742,0.1810622587800026
ETW,quarterly,2015,2,,GREIX_NATIONAL,89.93961524963379,0.1921716034412384
ETW,quarterly,2015,3,,GREIX_NATIONAL,87.94439506530762,0.19948319345712662
ETW,quarterly,2015,4,,GREIX_NATIONAL,85.78596496582031,0.19974353536963463
ETW,quarterly,2016,1,,GREIX_NATIONAL,85.6520824432373,0.19157173484563828
ETW,quarterly,2016,2,,GREIX_NATIONAL,85.26676559448242,0.18972272798419
ETW,quarterly,2016,3,,GREIX_NATIONAL,86.25494194030762,0.19384148716926575
ETW,quarterly,2016,4,,GREIX_NATIONAL,86.70808410644531,0.1994711197912693
ETW,quarterly,2017,1,,GREIX_NATIONAL,86.32871437072754,0.19891712814569473
ETW,quarterly,2017,2,,GREIX_NATIONAL,83.06264686584473,0.2112148441374302
ETW,quarterly,2017,3,,GREIX_NATIONAL,81.19140243530273,0.22146928310394287
ETW,quarterly,2017,4,,GREIX_NATIONAL,80.22165298461914,0.23053105175495148
ETW,quarterly,2018,1,,GREIX_NATIONAL,77.47579383850098,0.24712464958429337
ETW,quarterly,2018,2,,GREIX_NATIONAL,77.67168235778809,0.2390400432050228
ETW,quarterly,2018,3,,GREIX_NATIONAL,78.46013832092285,0.22990598529577255
ETW,quarterly,2018,4,,GREIX_NATIONAL,78.0893383026123,0.21875128895044327
ETW,quarterly,2019,1,,GREIX_NATIONAL,80.42428970336914,0.20291879400610924
ETW,quarterly,2019,2,,GREIX_NATIONAL,81.51965141296387,0.19892442598938942
ETW,quarterly,2019,3,,GREIX_NATIONAL,81.12074279785156,0.20018348842859268
ETW,quarterly,2019,4,,GREIX_NATIONAL,82.23226928710938,0.200057964771986
ETW,quarterly,2020,1,,GREIX_NATIONAL,79.87860107421875,0.21296805888414383
ETW,quarterly,2020,2,,GREIX_NATIONAL,81.08600616455078,0.21582698449492455
ETW,quarterly,2020,3,,GREIX_NATIONAL,81.84789276123047,0.22071121260523796
ETW,quarterly,2020,4,,GREIX_NATIONAL,80.47118186950684,0.2257816195487976
ETW,quarterly,2021,1,,GREIX_NATIONAL,80.11414909362793,0.23163504153490067
ETW,quarterly,2021,2,,GREIX_NATIONAL,75.60419273376465,0.2630273140966892
ETW,quarterly,2021,3,,GREIX_NATIONAL,77.83939170837402,0.255810409784317
ETW,quarterly,2021,4,,GREIX_NATIONAL,79.77644729614258,0.24972830340266228
ETW,quarterly,2022,1,,GREIX_NATIONAL,79.37400817871094,0.24601150676608086
ETW,quarterly,2022,2,,GREIX_NATIONAL,80.5998363494873,0.21554585546255112
ETW,quarterly,2022,3,,GREIX_NATIONAL,76.13748550415039,0.2069353498518467
ETW,quarterly,2022,4,,GREIX_NATIONAL,75.73636054992676,0.191202312707901
ETW,quarterly,2023,1,,GREIX_NATIONAL,82.52242279052734,0.15757732465863228
ETW,quarterly,2023,2,,GREIX_NATIONAL,90.01886367797852,0.13409240171313286
ETW,quarterly,2023,3,,GREIX_NATIONAL,95.598388671875,0.12323758378624916
ETW,quarterly,2023,4,,GREIX_NATIONAL,99.26731872558594,0.11846287548542023
ETW,quarterly,2024,1,,GREIX_NATIONAL,103.04928016662598,0.11136971227824688
ETW,quarterly,2024,2,,GREIX_NATIONAL,112.16344833374023,0.10317878983914852
ETW,quarterly,2024,3,,GREIX_NATIONAL,117.2356014251709,0.09866402670741081
ETW,quarterly,2024,4,,GREIX_NATIONAL,116.27176094055176,0.1039954200387001
ETW,quarterly,2025,1,,GREIX_NATIONAL,109.44458961486816,0.12426893971860409
ETW,quarterly,2025,2,,GREIX_NATIONAL,96.50671577453613,0.14234199188649654
ETW,quarterly,2025,3,,GREIX_NATIONAL,89.71995735168457,0.153733991086483
ETW,quarterly,2025,4,,GREIX_NATIONAL,89.37240219116211,0.15364810451865196
ETW,quarterly,2026,1,,GREIX_NATIONAL,90.2841739654541,0.15095240622758865
