Segment,Frequency,Year,Quarter,Month,City,TOM_4q,Share_closed_2w_4q
EFH,quarterly,2012,1,,Berlin,,
EFH,quarterly,2012,2,,Berlin,,
EFH,quarterly,2012,3,,Berlin,,
EFH,quarterly,2012,4,,Berlin,83.4898853302002,0.15346244536340237
EFH,quarterly,2013,1,,Berlin,92.81402587890625,0.1222981121391058
EFH,quarterly,2013,2,,Berlin,91.97926330566406,0.13980559818446636
EFH,quarterly,2013,3,,Berlin,97.95235252380371,0.15059717185795307
EFH,quarterly,2013,4,,Berlin,101.58313369750977,0.15938645973801613
EFH,quarterly,2014,1,,Berlin,95.81649780273438,0.17744924128055573
EFH,quarterly,2014,2,,Berlin,93.01592063903809,0.19065548852086067
EFH,quarterly,2014,3,,Berlin,87.84339714050293,0.2000301592051983
EFH,quarterly,2014,4,,Berlin,83.47457695007324,0.22427735477685928
EFH,quarterly,2015,1,,Berlin,85.16342353820801,0.22637136280536652
EFH,quarterly,2015,2,,Berlin,86.3088321685791,0.23635263741016388
EFH,quarterly,2015,3,,Berlin,80.11980438232422,0.25727834179997444
EFH,quarterly,2015,4,,Berlin,75.03561401367188,0.26196203753352165
EFH,quarterly,2016,1,,Berlin,72.21450233459473,0.26128051057457924
EFH,quarterly,2016,2,,Berlin,70.12214660644531,0.25618838518857956
EFH,quarterly,2016,3,,Berlin,73.87596130371094,0.24658237397670746
EFH,quarterly,2016,4,,Berlin,75.64920997619629,0.2377973459661007
EFH,quarterly,2017,1,,Berlin,77.47488975524902,0.23348135128617287
EFH,quarterly,2017,2,,Berlin,76.43523025512695,0.23923759907484055
EFH,quarterly,2017,3,,Berlin,77.07603454589844,0.2432599440217018
EFH,quarterly,2017,4,,Berlin,78.00607299804688,0.23843270540237427
EFH,quarterly,2018,1,,Berlin,74.78523063659668,0.2555236481130123
EFH,quarterly,2018,2,,Berlin,75.30233764648438,0.23964228853583336
EFH,quarterly,2018,3,,Berlin,74.5175838470459,0.23979512229561806
EFH,quarterly,2018,4,,Berlin,72.8558177947998,0.2452019341289997
EFH,quarterly,2019,1,,Berlin,74.04726219177246,0.2335575707256794
EFH,quarterly,2019,2,,Berlin,73.40711402893066,0.24101684242486954
EFH,quarterly,2019,3,,Berlin,72.97694778442383,0.23322715982794762
EFH,quarterly,2019,4,,Berlin,74.0850944519043,0.2378545179963112
EFH,quarterly,2020,1,,Berlin,72.05624389648438,0.24469520896673203
EFH,quarterly,2020,2,,Berlin,76.02633666992188,0.23488348349928856
EFH,quarterly,2020,3,,Berlin,77.83344650268555,0.23678052425384521
EFH,quarterly,2020,4,,Berlin,78.06672477722168,0.23213055357336998
EFH,quarterly,2021,1,,Berlin,80.20980834960938,0.22277310490608215
EFH,quarterly,2021,2,,Berlin,72.67851066589355,0.2757205367088318
EFH,quarterly,2021,3,,Berlin,72.3865852355957,0.2798801511526108
EFH,quarterly,2021,4,,Berlin,71.00287628173828,0.28917819634079933
EFH,quarterly,2022,1,,Berlin,69.59665298461914,0.29643575847148895
EFH,quarterly,2022,2,,Berlin,73.20983123779297,0.2586301639676094
EFH,quarterly,2022,3,,Berlin,71.9174976348877,0.23566098883748055
EFH,quarterly,2022,4,,Berlin,75.95660591125488,0.1965252384543419
EFH,quarterly,2023,1,,Berlin,82.9482421875,0.15985447727143764
EFH,quarterly,2023,2,,Berlin,89.84917449951172,0.1323931496590376
EFH,quarterly,2023,3,,Berlin,95.21358489990234,0.12228216230869293
EFH,quarterly,2023,4,,Berlin,98.33758163452148,0.12191984429955482
EFH,quarterly,2024,1,,Berlin,99.48407554626465,0.12534494139254093
EFH,quarterly,2024,2,,Berlin,102.9725227355957,0.12184197083115578
EFH,quarterly,2024,3,,Berlin,103.81725883483887,0.12299642898142338
EFH,quarterly,2024,4,,Berlin,102.69894599914551,0.13193399645388126
EFH,quarterly,2025,1,,Berlin,99.97347450256348,0.14100890047848225
EFH,quarterly,2025,2,,Berlin,92.34798049926758,0.15593601390719414
EFH,quarterly,2025,3,,Berlin,90.39191246032715,0.15841051191091537
EFH,quarterly,2025,4,,Berlin,90.88295936584473,0.15603671967983246
EFH,quarterly,2026,1,,Berlin,91.17849540710449,0.1530086062848568
EFH,quarterly,2012,1,,Bocholt,,
EFH,quarterly,2012,2,,Bocholt,,
EFH,quarterly,2012,3,,Bocholt,,
EFH,quarterly,2012,4,,Bocholt,94.94080543518066,0.11603620182722807
